transitivity,number of components,average degree,diameter,label
0.008090614886731391,233,1.841796875,26,real
0.0014910536779324055,186,1.94921875,19,real
0.006329113924050633,205,1.904296875,21,real
0.003909643788010426,188,2.048828125,21,real
0.002886002886002886,213,1.91796875,19,real
0.0013856812933025404,183,2.013671875,21,real
0,200,1.931640625,20,real
0.004096495220755576,189,2.03515625,21,real
0.0045362903225806455,196,1.927734375,22,real
0.004689942678478374,188,1.9375,22,real
0.006602112676056338,179,2.052734375,22,real
0,211,1.892578125,21,real
0.003080082135523614,213,1.908203125,25,real
0.003728251864125932,179,2.08984375,20,real
0.004281636536631779,191,1.953125,23,real
0.0029182879377431907,187,1.984375,19,real
0,192,1.99609375,21,real
0,238,1.744140625,26,real
0.006063055780113177,192,2.107421875,18,real
0.004100227790432802,197,1.998046875,23,real
0.006654835847382431,179,2.060546875,22,real
0.004610655737704918,220,1.884765625,20,real
0.007954043305346884,184,2.03515625,21,real
0,218,1.8984375,23,real
0.0012975778546712802,171,2.06640625,19,real
0,201,1.962890625,19,real
0.0014144271570014145,190,2.00390625,21,real
0,193,2.04296875,19,real
0.005319148936170213,182,2.052734375,21,real
0,204,1.923828125,19,real
0.004584819154355578,226,1.87890625,22,real
0.00291970802919708,201,1.94921875,22,real
0.0014170996693434106,187,2.01171875,19,real
0.0024125452352231603,185,2.099609375,21,real
0.005979073243647235,204,1.8984375,22,real
0.0014104372355430183,202,1.962890625,21,real
0.0026109660574412533,177,2.06640625,18,real
0.001466992665036675,213,1.90625,23,real
0.0025651988029072254,176,2.08203125,21,real
0.003284072249589491,199,1.869140625,23,real
0.0014005602240896359,190,1.9765625,21,real
0.0013686131386861315,171,2.03515625,23,real
0.0026749888542131075,193,2.025390625,18,real
0.0013357079252003562,181,2.025390625,23,real
0.006214396685655101,199,1.921875,21,real
0.002823529411764706,188,1.98046875,23,real
0.0026619343389529724,184,2.041015625,21,real
0.001445086705202312,190,1.96875,23,real
0.0013611615245009074,194,1.98828125,20,real
0.006925207756232687,213,1.974609375,18,real
0.0030472320975114273,194,1.95703125,19,real
0.003977021652673442,185,2.046875,19,real
0.0027149321266968325,189,2.0234375,21,real
0.005240174672489083,161,2.07421875,20,real
0,209,1.94921875,23,real
0.006570302233902759,192,2.013671875,20,real
0,199,1.990234375,21,real
0.00401965163019205,171,2.037109375,22,real
0.004632012352032939,195,1.923828125,20,real
0.004416094210009814,211,1.927734375,21,real
0.001413094677343382,210,1.951171875,20,real
0.0028763183125599234,213,1.927734375,19,real
0,192,1.958984375,24,real
0,194,1.98828125,20,real
0,183,1.970703125,24,real
0.007433102081268583,188,1.974609375,22,real
0.007170172084130019,194,1.994140625,21,real
0.0014191106906338694,206,1.9765625,21,real
0.004281636536631779,196,1.974609375,24,real
0.004888647474198805,206,1.876953125,24,real
0.002798507462686567,171,2.033203125,21,real
0.0013003901170351106,189,2.03515625,20,real
0.006996268656716418,183,2.013671875,20,real
0.001445086705202312,217,1.919921875,23,real
0.00988235294117647,204,1.958984375,21,real
0.0038281582305401958,181,2.08203125,18,real
0.004037685060565276,202,2.015625,22,real
0.004335260115606936,165,2.0078125,22,real
0.0014374700527072352,214,1.927734375,20,real
0,193,1.890625,26,real
0.0027906976744186047,205,1.96875,19,real
0.0014506769825918763,204,1.95703125,19,real
0.0013227513227513227,178,2.0390625,23,real
0.0015189873417721519,211,1.92578125,21,real
0.005439709882139619,184,2.01953125,21,real
0.002909796314258002,222,1.912109375,20,real
0.0028116213683223993,197,1.96875,21,real
0.001388888888888889,192,1.998046875,19,real
0.00963302752293578,178,2.01953125,20,real
0.010038240917782026,199,1.98828125,21,real
0.0029644268774703555,207,1.931640625,20,real
0.004128440366972477,189,1.994140625,22,real
0.006717420510523959,197,2.015625,18,real
0.004100227790432802,200,1.9765625,21,real
0.004455445544554455,192,1.94921875,20,real
0.008166969147005444,202,2.009765625,19,real
0.0038876889848812094,199,2.01953125,21,real
0.006355932203389831,216,1.876953125,21,real
